event_date,close_price_usd,market_cap_usd,volume_usd
2024-12-08 00:00:00 UTC,74.5779007432764,1110226187.364493,51702748.27461715
2024-12-09 00:00:00 UTC,58.60881621919045,1179310634.0817485,152162384.2463402
2024-12-10 00:00:00 UTC,59.0247915647836,924800883.622162,216673787.1409552
2024-12-11 00:00:00 UTC,64.03270842066668,931830054.0721668,194888624.22695392
2024-12-12 00:00:00 UTC,59.57893516375384,1011224191.8405124,135405759.19386405
2024-12-13 00:00:00 UTC,60.11221410933681,938738963.2135944,166750259.29732397
2024-12-14 00:00:00 UTC,58.27959951595071,949504632.2923982,141822905.8739528
2024-12-15 00:00:00 UTC,58.81123973011687,920085407.9228612,66530753.10339293
2024-12-16 00:00:00 UTC,56.43236962256274,930117885.88711,62701981.35578714
2024-12-17 00:00:00 UTC,55.170435395106026,891165265.1001477,81409805.39790086
2024-12-18 00:00:00 UTC,50.57079726351039,870720812.9542124,66708141.42948961
2024-12-19 00:00:00 UTC,48.025267789268376,798706398.6486691,76264352.25265718
2024-12-20 00:00:00 UTC,54.54341417122003,762978661.8310832,122443427.85811795
2024-12-21 00:00:00 UTC,53.683054408629765,867755171.7358633,224950777.21368575
2024-12-22 00:00:00 UTC,58.043327178120784,848273778.5168962,149783510.94358253
2024-12-23 00:00:00 UTC,65.83600826140774,907951674.6253488,168001945.8483802
2024-12-24 00:00:00 UTC,69.10980159937,1039804556.7504716,119913623.14078929
2024-12-25 00:00:00 UTC,73.6580583905213,1092589230.5339916,129052736.26136816
2024-12-26 00:00:00 UTC,68.98315479263243,1163294839.225664,124507419.86656693
2024-12-27 00:00:00 UTC,61.86222902411473,1091323583.383131,86466265.94436443
2024-12-28 00:00:00 UTC,62.764996854840945,977143698.1013272,65941761.54475773
2024-12-29 00:00:00 UTC,60.43608481781464,992730919.3433864,105326219.02042668
2024-12-30 00:00:00 UTC,58.093625111066544,955480225.2727116,46364333.37942778
2024-12-31 00:00:00 UTC,56.10013701277775,918218872.4448186,51821932.494140506
2025-01-01 00:00:00 UTC,58.40055773191307,886512088.2389373,38403313.90320479
2025-01-02 00:00:00 UTC,59.61668282063953,923828546.7045784,97786914.81694049
2025-01-03 00:00:00 UTC,60.90218605614368,941344612.4404324,105782646.17875746
2025-01-04 00:00:00 UTC,59.14916876904343,967512106.2064688,53309768.850384295
2025-01-05 00:00:00 UTC,58.71480251691905,938307703.4829907,40852909.07538625
2025-01-06 00:00:00 UTC,60.156146631226314,929517613.3946592,108151648.1232036
2025-01-07 00:00:00 UTC,52.303981791757366,951650136.2347394,114865194.36690292
2025-01-08 00:00:00 UTC,50.20938727590526,828946356.1438054,120268347.34776244
2025-01-09 00:00:00 UTC,47.366623533518094,795067367.6192486,115011910.71316764
2025-01-10 00:00:00 UTC,48.339741871509645,744340287.4732318,114097111.72459516
2025-01-11 00:00:00 UTC,48.73533881641913,765711353.983609,104529758.20604189
2025-01-12 00:00:00 UTC,48.01407853888822,767329390.5931259,86319088.49778606
2025-01-13 00:00:00 UTC,48.42566791772629,760270644.2659802,32371663.89568896
2025-01-14 00:00:00 UTC,51.31159575770245,767856911.2142172,64128849.899484105
2025-01-15 00:00:00 UTC,55.43361614398473,815101404.1303527,99494136.48552676
2025-01-16 00:00:00 UTC,53.9742191672186,877487934.4503689,116828248.15586512
2025-01-17 00:00:00 UTC,54.96766479906712,855816272.5462438,106255836.70991854
2025-01-18 00:00:00 UTC,52.08808077450369,871495941.1935629,114419966.21670528
2025-01-19 00:00:00 UTC,47.095110096961065,825216974.033384,113153245.89854912
2025-01-20 00:00:00 UTC,47.50554508318892,744901946.546684,131720315.16361122
2025-01-21 00:00:00 UTC,49.08564241972908,753633173.0518737,141142930.2417368
2025-01-22 00:00:00 UTC,48.3581092172875,779195082.6365861,64247175.6264162
2025-01-23 00:00:00 UTC,48.594038913244034,766835932.8865054,91934170.14981765
2025-01-24 00:00:00 UTC,46.38998640345818,771263684.3061873,148445855.52756488
2025-01-25 00:00:00 UTC,46.4986068002235,735676713.1956061,141747392.4355942
2025-01-26 00:00:00 UTC,44.971687628604734,738932264.91288,101869048.53937148
2025-01-27 00:00:00 UTC,43.09134792680178,711967471.281301,106686937.74686582
2025-01-28 00:00:00 UTC,41.99124110791938,682111617.580395,138106892.23013335
2025-01-29 00:00:00 UTC,42.51840872893104,666464723.7883946,101813083.22566828
2025-01-30 00:00:00 UTC,43.94276421441083,674937155.7829407,108571470.14697312
2025-01-31 00:00:00 UTC,43.16797769070905,697645190.767135,46080815.535435654
2025-02-01 00:00:00 UTC,39.451670499533144,685010920.4583366,43252330.28834054
2025-02-02 00:00:00 UTC,33.29772979026891,626495401.2399918,39094057.90053773
2025-02-03 00:00:00 UTC,35.53191532355142,528771558.3888021,98105494.63532744
2025-02-04 00:00:00 UTC,32.12731496135604,563968070.601343,122724569.40198542
2025-02-05 00:00:00 UTC,32.11569591299287,510028431.56704974,42263986.59667666
2025-02-06 00:00:00 UTC,29.77515975503491,510152898.019868,32547023.67414552
2025-02-07 00:00:00 UTC,30.08931481874892,472860851.7115673,31488311.96563757
2025-02-08 00:00:00 UTC,31.651902876902337,481024934.8221794,33744173.55159756
2025-02-09 00:00:00 UTC,32.589460306857895,504269699.2770905,61025877.08514403
2025-02-10 00:00:00 UTC,32.51986885104384,518050252.42399865,65891938.25070072
2025-02-11 00:00:00 UTC,33.159563471669614,516712125.61895865,31329473.904481016
